product_id,title,detected_keywords,suggested_category,confidence
hhc-3763301,JL-T66 Solar Induced Wall Light - Lighting Product Designed For Illumination And Daily Lighting Routine,,Home & Kitchen > Other,0.58
hhc-3763073,"Instant Glow Massage Shower Soap – Textured Body Massage Soap for Deep Cleansing, Soft, Smooth & Refreshed Skin | Daily Body Care Soap for All Skin Types",,Beauty & Personal Care > Other,0.55
hhc-3762666,"Fixed Flat Panel TV Wall Mount Bracket 17"" to 26"" LCD/LED – Heavy Duty TV Wall Stand (Max 30kg)",,Home & Kitchen > Other,0.55
hhc-3762492,Toilet Cleaning Brush With Hanging Sticker | Silicon Bathroom Cleaning Hockey Brush | Silicon Toilet Cleaning Brush Hockey & Golf Shape | Washroom Brush Silicon,,Beauty & Personal Care > Other,0.55
hhc-3762327,5 Layer Fan Faucet For Kitchen | Anti Splash Water Saving Shower Head Purifier 6 Layer Filter Cartridge For Kitchen | Random Colour Faucet,,Home & Kitchen > Kitchen & Dining,0.58
hhc-3762248,"Premium Fixed Flat Panel TV Wall Mount Bracket (14"" To 42"") – Heavy Duty Metallic LED/LCD Television Stand For Secure And Reliable Mounting",,Home & Kitchen > Other,0.55
hhc-3762227,"Premium Fixed Flat Panel TV Wall Mount Bracket (17"" To 26"") – Heavy Duty Metallic LED/LCD Television Stand For Secure And Reliable Mounting",,Home & Kitchen > Other,0.55
hhc-3762181,Sensor Solar Bulb Light | Camping Light For Outdoor With Solar | Solar Sensor Lamp Bulb,,Home & Kitchen > Home Decor,0.58
hhc-3762178,Stanley 40oz Printed Tumbler With Handle And Straw - Premium Stainless Steel Insulated Travel Mug For Hot And Cold Drinks With Leak-Resistant Lid,,Home & Kitchen > Other,0.58
hhc-3762144,"Star Utility Knife - Durable And Versatile Handheld Cutting Tool Designed For Precision Work, Crafts, Packaging, And General Utility Tasks",,Home & Kitchen > Other,0.55
hhc-3762069,"KSE CK686 50W Portable Solar Charging Flood Light - Powerful Rechargeable Outdoor Lighting For Camping, Emergencies, And Work Sites",,Home & Kitchen > Other,0.58
hhc-3762024,"24K Gold Leaf Brightening Soap – Handmade Luxury Soap for Glowing Skin, Dark Spots, Anti-Aging & Skin Brightening",,Beauty & Personal Care > Skin Care,0.58
hhc-3761989,AC Outdoor UV Sheet Durable Waterproof Dust Proof Lightweight Easy To Install UV Resistant,,Home & Kitchen > Shampoo & Hair Care,0.58
hhc-3761743,ARH 50mm Iron Padlock With 2 Keys 5 Lever Heavy Duty Security Lock - Tool Product Designed For Security And Daily Protection Routine,,Home & Kitchen > Other,0.58
hhc-3761588,HT Lock JG-35 - Heavy Duty Security Lock Durable Mechanical Hardware Device High Performance Protection Safety Lock For Doors And Gates,,Home & Kitchen > Other,0.58
hhc-3761586,Number And Letters Design Kids Chair - Educational Alphabets Pattern Lightweight Seating Furniture Durable Comfortable Miniature Toddler Seat - (Random Color),,Home & Kitchen > Other,0.58
hhc-3761582,Panda Face Design Kids Chair - Cute Animal Themed Lightweight Seating Furniture Durable Comfortable Miniature Seat For Toddler Playroom (Random Color),,Home & Kitchen > Other,0.58
hhc-3761284,High Strength Low Temperature Aluminum Welding Rods 3 Pcs Set Professional Metal Repair And Brazing Solution,,Home & Kitchen > Other,0.58
hhc-3760594,Vacuum Storage Bag Packaging Bag for Vacuum Compression Storage Space Saving Storage Organizer (5 bags with Pump),,Home & Kitchen > Other,0.55
hhc-3760575,Scale 50Kg 5g LCD Digital Display Handheld Mini Electronic Weighting Scale Fishing And Travel Luggage Scale,,Home & Kitchen > Other,0.58
hhc-3760456,"Environmental Wall Hole Sealing Glue – Waterproof Mending Plasticine for AC Holes, Wall Gaps & Pipe Sealing",,Home & Kitchen > Shampoo & Hair Care,0.58
hhc-3760455,"Electric ToothbrushElectric Toothbrush – Rechargeable Sonic Cleaning Toothbrush with Soft Bristles, Deep Clean (Random Colour)",,Home & Kitchen > Other,0.58
hhc-3760089,Air Conditioner Outdoor Unit Cover Heat Insulation Waterproof - Universal Size For 1 & 1.5 Ton - With Clip (Multi Color Random Design),,Home & Kitchen > Shampoo & Hair Care,0.58
hhc-3759804,GreenPro Gardening Hand Trowel – Heavy Duty Digging Shovel with Comfortable Anti-Slip Grip Handle,,Home & Kitchen > Other,0.58
hhc-3758946,"5mm double-head screwdriver with Phillips and flat tips, featuring a detachable handle for easy repair, maintenance, and DIY tasks. Durable, compact, and easy to handle.",,Home & Kitchen > Other,0.58
hhc-3758945,Heavy-Duty Combination Pliers – Professional Grip Hand Tool 8 Inch,,Home & Kitchen > Other,0.58
hhc-3758499,Automatic Door Closer Heavy Duty Self Closing Device for Home Office and Commercial Use Smooth and Controlled Door Closing,,Home & Kitchen > Other,0.55
hhc-3758207,AC Outer Cover With Clip | AC Foil Cover For Outer | Head Resistant Waterproof AC Cover | Air Conditioner Foil Cover for 1 & 1.5 Ton,,Home & Kitchen > Shampoo & Hair Care,0.58
hhc-3758199,"Toppik Hair Fiber Holding Spray, Instant Fuller Looking Hair - 118ml",,Beauty & Personal Care > Kitchen & Dining,0.58
hhc-3758094,1Pc Baby Diaper Bag Dispenser With Rope/Hook | Includes 1 Roll Of 18 Disposable Bags | Random Colour,,Home & Kitchen > Other,0.58
hhc-3758042,"Portable Telescoping Stool, Folding Stool Lightweight &amp; Sturdy, Retractable Telescopic Stool For Gardening, Camping, Travel, Fishing, Hiking And Bbq(Multi Color)",,Home & Kitchen > Other,0.55
hhc-3757776,Rechargeable Mini COB Light With Box | 3in1 LED Flash Light | 3 Modes LED Torch Flashlight,,Home & Kitchen > Other,0.58
hhc-3757623,Portable Digital Kitchen Scale With 50kg Capacity And LCD Display,,Home & Kitchen > Kitchen & Dining,0.58
hhc-3757296,Rechargeable Mosquito Racket With Box & Stand – Electric Insect Killer Bat For Indoor And Outdoor Use | Insects Killer | Mosquito Killer Racket (Random Color),,Home & Kitchen > Other,0.55
hhc-3757217,800ML Rechargeable Desktop Humidification Fan Portable Foldable Spray Misting Fan With Blue Light (Random Colour),,Home & Kitchen > Other,0.55
hhc-3757180,"Ergonomic Lumbar Support Cushion – Soft PU Memory Foam Backrest Pillow for Office Chair, Car & Home Use",,Home & Kitchen > Home Decor,0.58
hhc-3757120,"Foldable Capacity Storage Bag – Large Space Folding Organizer for Travel, Clothes & Home Use",,Beauty & Personal Care > Other,0.58
hhc-3757076,USB Rechargeable Mosquito Racket With Stand – Electric Insect Killer Bat For Indoor And Outdoor Use | Insects Killer | Mosquito Killer Racket (Random Color),,Home & Kitchen > Other,0.55
hhc-3757040,"Universal Car Windscreen Sunshade 130 by 60 CM,For Hatchback ,Small Cars ,,Anti heat material -Universal Car Sun shade 130 by 60 CM",,Home & Kitchen > Other,0.58
hhc-3757013,"Premium Tissue Box Holder – Stylish & Durable Organizer for Home, Office & Car - Size:9.5/3.5h/5.5",,Home & Kitchen > Other,0.55
hhc-3756872,Men Therm Bee Venom Heating Oil – Advanced Gynecomastia Care for Men (30ml),,Beauty & Personal Care > Other,0.58
hhc-3756833,Pack Of 2 Sugar Body Whitening Scrub 150ml Each Exfoliating Body Scrub For Smooth And Glowing Skin,,Beauty & Personal Care > Other,0.58
hhc-3756644,T9 Trimmer - Vintage T9 Gold Hair Trimmer -  Premium Body Dragon Shape T9 Hair Trimmer Plastic Body,,Home & Kitchen > Other,0.58
hhc-3756361,High Quality Men Shorts – Daily Wear & Sports Use,,Home & Kitchen > Fitness & Gym,0.58
hhc-3756360,Cute Panda Silicone Night Light – Soft Touch LED Lamp for Kids Bedroom,,Home & Kitchen > Home Decor,0.58
hhc-3755645,"Iron Cover Protector – Non-Stick, Heat-Resistant Ironing Shoe for Clothes Protection, Prevents Scorch Marks & Ensures Smooth Ironing",,Home & Kitchen > Other,0.58
hhc-3755616,"Window Screen Net Repair Tape – Strong Adhesive Mesh Tape for Door & Window Screen Repair, Easy Fix for Holes and Tears | 2 Meter",,Home & Kitchen > Other,0.55
hhc-3755297,"Heavy Duty Pad Lock | Desi Lock with 2 Keys | Strong Security for Doors, Cabinets & Home Safety",,Home & Kitchen > Other,0.58
hhc-3755279,"Portable Rainbow Telescopic Stool – Lightweight Collapsible Folding Seat for Camping, Fishing, Hiking & Outdoor Activities – Adjustable Height",,Home & Kitchen > Other,0.55
hhc-3755246,set of 6 Motivational sticky canvas frames for wall decore / sticky phototiles,,Home & Kitchen > Other,0.58
hhc-3755243,set of 6 Motivational sticky canvas frames for wall decore / sticky phototiles,,Home & Kitchen > Other,0.58
hhc-3755176,Moisturizing Spa Gel Socks | Silicon Socks For Women | Foot Care Spa Gel Socks,,Beauty & Personal Care > Other,0.55
hhc-3755144,Qifenghe Professional 200g Plastic Renovation Wax – Varnish Soft Wax for Car Interior Refurbishment and Cortical Brightening with Included Applicator Sponge,,Home & Kitchen > Other,0.58
hhc-3755143,Qifenghe Professional 200g Car Interior Plastic Renovation Wax – Premium Varnish Soft Wax with Applicator Sponge for Whole Car Interior Refurbishment & Cortical Brightening,,Home & Kitchen > Other,0.58
hhc-3755128,Classic Winter Jacket For Men Zipper Style Stay Warm And Stylish | Comfortable Fleece Material,,Home & Kitchen > Other,0.55
hhc-3755127,"Classic Winter Jacket For Men- Zipper Style, Stay Warm And Stylish- Comfortable Fleece Material",,Home & Kitchen > Other,0.55
hhc-3755121,"Universal Punch-Free Automatic Sensor Door Closer | Heavy-Duty Retractable Steel Cable Door Closer for Home, Office, and Internal Sliding or Swing Doors",,Home & Kitchen > Other,0.58
hhc-3755101,Men's Black Printed Tracksuit Trendy Design Casual Comfortable Style,,Home & Kitchen > Trucksuits & Activewear,0.58
